	id	text	hashtags
0	1460759441960284161	b'this and shangchi are my favorites now'	[]
1	1460759374163546112	b'RT @SimuLiu: When your deodorant holder is also your roomie, sidekick, bff AND life coach??\\n\\nCatch Marvel Studios\\u2019 @ShangChi and The Legend\\u2026'	[]
2	1460758564054519811	b'RT @SimuLiu: Cuddle up with your maybe-platonic-but-maybe-not-friend this Friday as @ShangChi releases on Disney+. Watch this amazing actio\\u2026'	[]
3	1460758538716778497	b'I absolutely need need a Morris plush when it comes back in stock @SimuLiu @shangchi @MarvelStudios @Marvel https://t.co/zwFV4PtcvR'	[]
4	1460758025770307588	b'RT @shangchi: Ready for more Shang-Chi and The Legend of The Ten Rings? Get 11-Deleted Scenes, Bonus Features, a Gag Reel, and more, only o\\u2026'	[]
5	1460757895130202114	b'The DBZ scene in @shangchi was one of the highlights for me but hands down the moment he shares with his father, as he passes on the rings was pretty deep for me. \\n\\nI hope, when my time comes - I have all the best memories with my children flash before my eyes too.'	[]
6	1460756390331310082	b'RT @walmartbucky: shangchi  canonically  knows  4  languages  and  theyre  mandarin  english  french  ( learnt  in  high  school ) &amp;  sign\\u2026'	[]
7	1460756240049799168	"b""RT @Marvel: Ready for more Marvel Studios' @ShangChi and The Legend of The Ten Rings? Get 11-Deleted Scenes, Bonus Features, a Gag Reel, an\\u2026"""	[]
8	1460756174899400705	b'Watching @shangchi  for the 4th time. The bus fight scene is awesome.'	[]
9	1460755984398393347	b'@shangchi just finished watching Shang-chi and the legend of the ten rings \\n\\nLoved it \\nBrilliant movie well done guys https://t.co/8peWFSpAjA'	[]
10	1460755299162148864	b'I watched Shang Chi for the first time last night, and Lawwwdy ShangChi im willing to have you 10 rings deep in- nvm'	[]
11	1460754268546375686	b'@EnglishmanSDCC @PhsycoRed @ThatKevinSmith @marcbernardin @SpiderManMovie @shangchi @TheEternals Yeah these studios really need to let their commercials be dmca free, but they so greedy'	[]
12	1460754265228693509	b'RT @jr_nauh: So I watched Shang Chi recently and I though Shang Chi and Irelia from League (LOL) resembled each other. I searched google an\\u2026'	[]
13	1460754048097869837	b'@Bosslogic @wongrel @SimuLiu @shangchi I just saved this to my phone.  Too beautiful to pass up.'	[]
14	1460753852618055681	b'@shangchi @disneyplus What an awesome movie'	[]
15	1460752741261660162	b'Bruh my dad is watching shangchi and he had the same reaction I did when a Chevy got smashed in a scene LOL'	[]
16	1460752577956663299	b'About to see what @shangchi is hitting on'	[]
17	1460750177204162565	"b""@EruRoraito2000 @DasikCZ2 @CartwheelMurphy @Bolverk15 The prequels are the ones that tried, that broke some eggs. They were taking what Lucas did with his 1st SW movie to the next level. Ofc it has funny looking parts. Isn't shangchi after 22 years supposed to be above the funny looking parts? I actually said some shit last time-"""	[]
18	1460750107343736834	b'So are the good martial arts in these scenes? https://t.co/8QzSjQVXFC'	[]
19	1460747509815463937	b'@Cosmic_Ruins @BlessTansia @Bosslogic @wongrel @SimuLiu @shangchi The only reason why I compared the two was because that\\u2019s what the argument was when Shang chi came out . I\\u2019m just seeing it on Disney plus so I wanted to answer that that\\u2019s all'	[]
20	1460747439070187524	b'@shangchi LISTEN we had family movie night with Shang-Chi last week and I\\u2019ve been informed that we will continue to have Shang-Chi movie night every week from now on. I\\u2019m calling that a parenting win \\U0001f947'	[]
21	1460746930724777991	b'@BlessTansia @pb_threeg @Bosslogic @wongrel @SimuLiu @shangchi Against each other? or compare 2 amazing movies based on the acting, directing, MCU implications for the future. Are you unfamiliar with these types of YT videos?'	[]
22	1460745884115767296	b'okayyy shangchi was soooo good omg im in lovee'	[]
23	1460744112068567042	b'@Cosmic_Ruins @pb_threeg @Bosslogic @wongrel @SimuLiu @shangchi So the natural reaction is to pit them against each other?'	[]
24	1460743808295993347	b'RT @quality_nguyen: My daughter after watching Shang Chi @shangchi trying out the double split kick.\\n\\nRepresentation matters. Thanks marvel\\u2026'	[]
25	1460743799580155905	"b""@Bosslogic @wongrel @SimuLiu @shangchi I'm stealing.."""	[]
26	1460743404271329281	"b""@BlessTansia @pb_threeg @Bosslogic @wongrel @SimuLiu @shangchi The only 2 that don't have white folks in a leading role."""	[]
27	1460742596435787776	b'@pb_threeg @Bosslogic @wongrel @SimuLiu @shangchi Why compare it to Black Panther and not any other movie \\U0001f644'	[]
28	1460741914605596684	b'@CrestanSMAkiwi @shangchi It was so good!'	[]
29	1460741906296676364	b'@gonzo3249 @shangchi @EstherK Yeah I\\u2019m late to the game. But if anyone can find out, it\\u2019s her.'	[]
30	1460741660548210696	b'Way behind but just watched @shangchi \\U0001f923\\U0001f97a\\U0001f626\\U0001f62c\\U0001f632\\U0001f621\\U0001f92f\\U0001f923\\U0001f97a\\U0001f621\\U0001f62c\\U0001f632\\U0001f633\\U0001f92f\\U0001f60f https://t.co/PVGGvEjL1T'	[]
31	1460740898384457733	b'@RealRoySchwartz @shangchi @EstherK is on it!'	[]
32	1460740799122255872	"b""@maxmyers16 @ProfHulksLab They (almost, there were leaks) successfully kept Ben Kingsley's return in Shangchi until the red-carpet. So I think it's fine."""	[]
33	1460740695946235909	b'Watched Shang-Chi and the Legend of the Ten Rings with my kids. It was SO DAMN GOOD. Bonus - like growing up in multicultural Malaysia, from the slipper/shoe rack at the front door, congee for breakfast to the grandma whose mission it is to get you to marry and have kids\\U0001f601 https://t.co/BrCJgJXNEZ'	[]
34	1460739732380475399	b'Sooooo. We gonna talk about those VFX in @shangchi ? I especially love not even attempting to match the lighting between plates \\U0001f631 Cheapo!'	[]
35	1460738655010627584	b'Movie yodado.... https://t.co/xhxN27UfLZ'	[]
36	1460735575783354373	"b""wish i could just lay in bed all day with the shangchi album playing on loop but i always have things to do ffs i can't even be depressed in PEACE i hate it here"""	[]
37	1460735241211940865	"b""@AsherTh43667268 @TonyMontana5461 @Saadiya89 @RohitThayyil @shangchi @MarvelStudios Every country has their culture and it is minimum expected to respect the same.\\n\\nYou don't eat dogs in US ( korean eat them ). Same time, Islamic majority countries don't eat pigs culturally. \\n\\nKeep your compulsive woke with you."""	[]
38	1460734479220183043	b'@Saadiya89 @RohitThayyil @shangchi @MarvelStudios 4th century religion of peace ppl goto US, EU for escape BS of their own country idiotic religious chaos but wants Sharia law and wear hijab in US, EU stating to showoff their religion my foot'	[]
39	1460734331509514241	b'@SimuLiu Hi Simu. If you see this, I just wanna say that you are utterly amazing as Shang Chi \\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f. @shangchi was such an awesome movie and I can\\u2019t wait for when we next see you as him in the MCU \\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f https://t.co/ia3JSNfUWZ'	[]
40	1460733608088326146	"b""@Saadiya89 @RohitThayyil @shangchi @MarvelStudios Idiots don't understand the concept called respecting local culture.  You wouldn't ask the same question to Muslims who don't bat an eye to goto places like USA or UK where pigs are admired and eaten same time.\\n\\n4th century mindsets"""	[]
41	1460733505613152257	b'RT @CoralieSeright: Marvel Studios\\u2019 @ShangChi and the Legend of the Ten Rings is now available to own! Do you have your copy yet? It is als\\u2026'	[]
42	1460732940111867905	b'@RohitThayyil @shangchi @MarvelStudios They would have done the same thing if pork was there in original version and they would have avoided that in Middle east or Muslim countries.  \\n\\nSo chill ...it is.called culture adoption. \\n\\nBesides, what is acceptable in one place say Dog meat is NOT acceptable other places'	[]
43	1460732013510545409	b'Halfway through @shangchi \\U0001f60d https://t.co/wDxDCth7Nr'	[]
44	1460731486861205506	b'RT @holyghostnft: Who saw me in @shangchi ? \\U0001f923 https://t.co/Oi79Ts1s8T'	[]
45	1460731083603935232	b'Later or tomorrow, I will give Shangchi another shot. \\n\\nCurrently trying to permanently add subtitles to the movie. \\n\\nThe movie I got from my cousin, don\\u2019t come with subtitles built in cause it\\u2019s a download. \\n\\nGlad there are website that provide the actual subs!!!'	[]
46	1460730785053483020	b'@shangchi Ima needs that hard copy as well https://t.co/DKEWRh2SRD'	[]
47	1460726918664400902	b'Watched this last night it was so good!! https://t.co/f42K0BKMLo'	[]
48	1460725081634652174	"b""IT WAS SO GOOD! Watch it, go find the 'SF bus driver reviews the bus fight' thread, and then watch it again https://t.co/ob9AjrCykh"""	[]
